Name,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,GroupedPosition
Dani Martín,1,1,69,69,68,71,47,67,15,13,13,34,14,12,16,13,36,19,48,46,55,63,43,51,64,30,66,11,23,20,9,44,20,48,12,14,12,69,69,68,67,71,GK
G. Di Chiara,2,1,75,37,60,63,63,75,73,23,58,62,29,63,65,50,60,64,71,78,63,61,60,54,74,83,76,50,62,62,46,46,34,68,62,64,66,8,11,11,7,14,DF
D. Bojanić,0,0,43,63,76,69,57,64,78,58,51,77,60,69,77,72,76,70,52,36,66,61,74,71,34,59,72,67,58,59,59,74,57,72,56,58,55,15,11,8,8,7,MF
L. Assignon,1,1,75,42,60,69,64,61,66,33,58,68,31,71,58,41,51,69,75,75,71,63,74,58,62,66,59,47,57,61,52,50,48,53,62,69,68,11,13,15,8,8,DF
G. Smal,2,1,75,56,69,66,63,70,74,53,52,69,34,68,66,69,70,69,74,76,52,58,62,61,63,70,75,65,57,59,59,66,53,60,63,69,68,9,5,13,7,7,DF
J. Cabal,1,2,75,38,54,61,69,62,61,37,68,62,30,56,48,39,51,64,74,76,77,60,62,42,65,70,60,35,55,65,46,40,44,51,68,73,69,10,7,8,6,7,DF
Rui Fonte,1,1,63,68,67,70,42,61,61,70,70,70,70,66,72,63,65,73,64,63,72,72,66,66,75,59,61,61,59,40,77,69,71,76,45,37,28,14,10,15,15,6,FW
D. Camacho,1,1,67,58,67,66,47,59,67,65,45,71,42,66,42,41,70,67,69,66,70,65,67,55,54,72,63,48,35,43,69,68,54,58,48,50,49,8,14,11,9,13,MF
J. Whatmough,0,2,64,26,48,56,68,80,27,24,67,63,24,51,26,27,65,60,56,71,61,69,44,34,84,83,83,26,66,66,22,42,25,67,68,69,66,15,9,15,16,8,DF
D. Batth,0,2,31,23,42,39,69,82,24,20,72,56,18,31,25,16,53,46,30,31,35,63,33,32,73,69,91,18,76,70,35,39,27,51,69,66,68,11,11,8,10,9,DF
L. Nielsen,1,1,68,33,53,53,67,80,44,25,57,59,41,50,49,41,59,54,61,73,57,63,56,48,85,69,82,31,89,70,38,51,38,61,69,67,66,11,6,14,12,14,DF
A. Vural,1,1,70,66,61,74,46,69,17,20,21,31,18,16,17,16,18,22,47,44,31,56,52,46,70,26,65,20,27,25,13,44,25,56,15,15,17,70,66,61,69,74,GK
B. Maubleu,1,1,66,67,65,69,40,69,12,13,13,36,15,19,16,12,35,14,40,39,31,67,33,49,65,25,62,17,23,18,12,47,26,44,13,8,9,66,67,65,69,69,GK
J. Knight,2,2,68,63,66,70,64,70,68,63,62,70,47,70,52,46,66,70,68,68,73,67,77,68,73,88,63,64,63,67,67,66,46,65,59,66,65,9,12,9,9,13,MF
E. Centurión,1,1,72,66,65,69,49,69,11,7,12,34,16,24,20,14,24,21,52,45,45,66,40,49,72,36,69,6,33,11,7,35,18,43,10,11,17,72,66,65,69,69,GK
J. Attamah,0,2,65,46,57,61,69,76,33,27,61,70,59,60,36,46,68,61,67,64,63,66,64,73,85,75,81,64,64,70,32,59,42,64,66,73,67,6,6,13,9,12,DF
M. Honsak,2,1,80,63,61,69,50,71,65,64,56,63,49,69,55,47,53,71,81,80,74,58,68,70,66,74,74,59,63,54,68,64,44,55,38,58,51,5,9,7,11,12,MF
Rodri Tarín,1,1,77,37,50,60,68,73,47,24,64,62,29,58,33,30,52,66,71,81,59,69,45,59,75,66,78,46,68,71,25,42,40,56,68,68,66,13,13,14,9,8,DF
C. Avinel,0,2,69,46,51,46,69,78,37,41,70,61,44,30,33,39,59,55,68,69,67,65,59,55,74,73,82,49,75,69,38,48,46,70,69,70,61,16,12,13,11,14,DF
J. Fuchs,1,2,81,56,63,70,68,81,50,53,48,71,42,66,57,43,69,69,81,81,84,67,80,64,91,87,76,57,83,71,64,66,53,67,70,71,66,7,15,9,14,16,MF
M. Chahiri,2,1,74,59,67,70,45,63,65,59,42,73,58,73,62,60,67,69,75,73,70,67,63,64,52,64,70,55,46,41,62,63,57,57,48,46,41,9,7,10,10,5,MF
A. Ćorić,1,1,68,65,69,72,40,57,70,63,37,70,56,70,67,71,66,72,75,62,81,67,83,68,56,66,58,70,41,34,65,70,58,67,49,38,35,15,10,14,14,7,MF
A. Sharahili,1,2,74,29,53,59,68,78,51,31,75,62,28,53,32,26,56,62,70,78,72,67,62,24,80,85,80,27,64,69,34,49,41,66,66,67,65,6,12,9,14,15,DF
R. Framberger,1,1,81,41,56,58,69,61,61,41,54,64,40,50,38,40,51,63,79,83,69,69,73,42,62,64,58,38,65,67,53,48,39,56,70,72,71,13,15,11,8,9,DF
F. Bruera,2,0,57,72,53,60,28,71,39,74,72,61,61,60,60,58,55,61,60,55,55,65,55,77,70,72,80,64,45,23,74,47,75,56,22,23,22,10,6,11,10,10,FW
Filipe Relvas,0,1,63,40,54,57,70,73,61,30,66,59,39,55,59,53,54,62,59,67,48,66,43,58,75,74,74,47,67,71,32,36,43,59,70,70,68,12,15,5,9,9,DF
B. Kopplin,2,1,77,56,61,68,63,74,66,52,61,64,55,68,62,58,56,67,76,77,69,64,70,69,64,82,74,55,66,63,58,56,50,65,64,62,62,11,8,14,11,8,DF
Diogo Mendes,1,1,67,48,60,66,67,72,47,42,72,70,41,64,45,42,69,69,68,66,65,65,64,61,84,75,71,46,68,66,58,59,48,64,62,69,71,11,13,11,5,14,DF
E. Marxen,1,1,57,52,62,62,68,75,61,43,68,66,50,60,65,62,66,66,55,59,54,67,63,65,80,70,77,60,75,67,50,50,55,63,70,68,68,9,7,11,12,11,DF
A. Vindheim,2,1,78,54,62,66,62,69,67,51,65,61,51,66,67,51,57,65,79,77,71,64,66,63,58,78,65,50,71,65,61,63,50,64,58,64,63,13,8,6,9,14,DF
L. Nestor,1,2,49,45,55,56,69,80,57,43,67,62,44,47,33,29,65,58,61,39,67,67,74,52,91,88,78,42,73,72,42,46,49,66,72,65,69,15,7,12,13,14,DF
M. Fox,1,1,62,43,57,61,68,70,66,41,62,64,34,58,57,29,57,66,64,61,56,68,69,55,75,74,71,38,59,66,47,45,39,59,68,70,68,8,11,10,7,13,DF
A. Desmas,1,1,71,69,69,70,36,66,18,18,12,23,14,15,16,10,20,19,37,35,26,62,37,52,32,24,60,17,20,14,9,41,18,31,14,17,11,71,69,69,66,70,GK
Judson,1,2,70,42,58,63,66,71,46,32,40,71,43,59,41,41,63,64,73,67,69,64,75,59,65,82,60,50,87,66,34,52,46,68,68,73,65,11,9,8,14,8,MF
J. Moulin,1,1,68,70,65,68,51,72,15,14,15,32,14,13,14,11,35,23,50,52,48,62,56,49,42,32,54,14,20,16,11,29,23,59,14,13,14,68,70,65,72,68,GK
M. Hoppe,1,1,75,69,57,67,24,58,56,72,60,61,64,68,76,43,52,65,76,74,67,72,62,72,57,60,63,62,41,16,74,53,55,60,22,22,18,14,12,9,7,14,FW
V. Myhra,1,1,69,66,62,72,45,68,21,14,15,30,17,17,20,13,23,25,48,40,30,62,51,47,51,33,65,20,38,25,17,50,24,43,15,19,14,69,66,62,68,72,GK
G. Perrin,2,1,82,65,62,71,35,60,63,66,60,66,58,71,59,47,57,68,83,82,80,61,89,66,68,69,59,65,47,23,61,62,67,62,42,31,23,12,14,10,8,6,MF
D. Lavalée,2,2,65,29,61,64,67,69,63,21,65,68,22,60,38,27,63,68,58,70,64,68,62,45,69,60,72,29,74,68,41,60,24,64,65,69,70,5,14,9,10,8,DF
C. Holse,2,1,80,63,66,71,53,67,67,63,35,68,55,69,67,62,61,70,83,78,86,63,88,65,80,82,62,65,58,57,64,67,56,62,54,55,52,6,8,10,12,6,MF
G. Velázquez,1,2,74,31,47,54,69,75,38,27,69,62,23,47,30,30,49,54,75,74,65,66,65,50,86,74,77,21,69,71,31,35,40,73,69,67,68,9,8,14,7,7,DF
M. Bennett,2,1,80,63,63,69,42,75,70,65,64,62,58,67,61,56,54,70,84,77,76,63,71,64,82,61,81,59,74,42,67,67,58,64,40,41,32,14,15,10,10,7,FW
M. Fall,2,1,87,64,61,69,37,73,64,65,66,62,56,70,55,48,58,66,83,91,78,62,67,70,82,76,76,60,57,26,71,61,54,61,42,35,23,10,12,13,6,8,FW
Erik,2,0,84,49,64,70,61,70,68,50,45,62,37,71,68,65,57,66,87,82,84,58,80,57,52,81,61,45,82,61,56,65,33,66,61,66,64,10,6,7,10,8,DF
Dinis Almeida,1,1,60,38,45,49,70,70,23,40,72,66,29,39,32,28,60,59,54,65,48,60,56,45,73,64,74,31,67,72,30,25,31,58,65,73,67,13,14,12,6,6,DF
Lim Sang Hyub,2,0,75,69,62,70,42,67,64,72,63,64,67,69,67,60,58,68,72,78,83,67,68,66,65,80,68,63,51,53,73,61,68,63,41,32,35,11,6,16,8,15,MF
Kaíque Mutto,1,1,79,55,66,83,43,55,8,9,8,18,8,9,9,12,17,21,44,41,52,69,37,50,71,31,67,7,45,44,5,55,22,52,17,8,9,79,55,66,55,83,GK
N. Barrios,1,1,83,61,64,75,37,43,62,59,45,66,62,77,64,50,61,69,86,80,85,62,94,61,60,52,34,64,52,25,62,66,56,69,37,40,47,13,8,7,12,6,MF
G. Sauro,1,2,40,33,51,51,69,73,34,26,71,67,14,48,25,44,59,57,47,34,48,69,32,53,72,55,81,30,74,66,27,41,44,58,69,70,65,11,12,14,9,8,DF
D. Dumić,1,2,46,49,55,46,68,74,39,42,75,67,22,39,46,54,63,56,38,52,40,58,34,69,73,60,83,58,70,65,34,47,31,64,67,70,65,15,13,14,12,10,DF
Fernando Fonseca,1,1,73,41,60,67,64,72,66,35,57,65,35,69,60,38,54,68,72,74,61,68,64,55,71,80,69,37,69,65,62,56,48,60,62,67,65,5,7,10,5,14,DF
G. Kyei,1,0,64,65,51,66,26,80,43,65,77,62,55,66,52,38,44,67,58,69,66,69,63,72,82,73,90,55,63,19,73,49,73,64,20,23,18,10,12,12,8,7,FW
Marc Valiente,1,1,51,33,57,56,70,74,53,21,69,67,32,48,63,40,68,62,49,53,58,69,61,57,59,71,78,36,69,68,46,40,30,67,73,70,67,15,9,11,14,9,DF
B. Eva Nga,2,1,70,68,50,66,45,80,43,71,87,54,63,70,43,44,38,57,68,71,78,58,62,68,82,75,88,62,65,38,71,63,76,62,41,41,38,11,8,9,8,7,FW
Quintillà,1,1,69,53,64,68,66,65,66,46,65,67,55,68,69,67,64,69,70,69,68,68,62,65,63,74,59,54,68,66,59,56,48,67,64,67,66,14,9,7,7,14,DF
I. Ljubić,2,2,59,64,65,68,66,74,57,64,63,71,58,68,57,47,68,70,61,58,64,70,65,66,62,76,78,64,63,65,67,67,60,65,70,65,63,13,10,8,14,14,MF
S. Hedlund,2,1,88,61,65,71,29,67,64,62,46,66,58,68,67,61,55,69,87,88,84,71,84,66,70,80,56,57,77,33,72,72,47,66,31,21,24,13,11,14,10,8,MF
Riquelme,1,1,75,65,65,72,38,49,67,69,46,64,61,73,63,44,60,69,76,75,78,68,80,57,55,54,43,64,58,44,69,72,55,66,37,32,38,9,10,8,9,12,MF
P. Ghiglione,1,1,80,52,65,69,65,64,74,50,58,67,50,70,49,40,60,70,76,83,64,69,59,60,41,55,72,42,62,67,70,64,59,64,63,68,68,7,13,7,7,14,MF
P. Heise,2,1,68,62,68,67,62,74,76,54,59,69,52,67,72,69,62,68,71,66,67,65,65,78,72,81,71,70,73,63,60,59,52,67,60,65,64,14,14,13,13,13,DF
L. Orbán,0,1,64,51,60,59,68,76,59,47,66,63,48,54,74,46,60,62,58,68,66,63,52,63,84,72,74,49,85,66,54,55,53,70,67,68,72,16,9,12,13,15,DF
A. Da Cruz,2,1,76,69,58,71,36,64,61,71,56,61,58,71,71,51,48,71,75,76,74,69,70,75,60,60,65,66,65,24,72,58,52,64,43,35,26,12,15,12,14,13,FW
S. Diarra,1,1,85,56,63,71,42,50,63,59,31,69,46,72,57,56,62,68,86,84,83,57,84,56,58,70,35,49,61,44,61,57,60,66,24,57,55,12,13,14,13,13,MF
B. Pittón,2,1,73,65,67,64,63,64,70,66,71,69,71,59,70,61,67,65,75,71,73,68,75,67,80,80,61,59,46,66,70,63,58,66,58,65,62,10,11,5,9,8,DF
L. Abubakar,1,2,56,32,50,50,66,79,34,31,63,65,28,41,33,26,63,58,44,65,55,67,48,37,85,68,86,29,73,66,24,39,38,54,65,68,65,11,6,15,15,12,DF
C. Valencia,2,1,75,71,58,67,42,59,57,74,63,64,65,67,59,50,43,65,72,78,67,70,72,72,62,66,59,64,50,43,73,59,69,70,40,38,40,6,12,14,12,11,FW
Guga Rodrigues,1,1,67,62,64,72,64,58,48,56,57,70,38,70,67,65,67,72,69,65,76,74,84,73,75,74,45,71,66,64,64,68,64,74,63,66,64,15,7,13,12,8,MF
Bruno Duarte,2,1,69,68,61,67,26,68,59,70,73,66,66,66,60,42,54,70,69,69,69,68,67,69,64,70,72,62,55,20,69,62,63,62,15,27,24,12,15,6,8,9,FW
M. Ilić,1,1,72,67,59,72,38,66,11,9,11,17,8,15,13,14,24,14,38,39,36,67,28,44,63,32,71,7,29,13,7,45,19,47,12,12,14,72,67,59,66,72,GK
L. Thomas,1,1,70,68,71,68,35,67,14,14,12,38,20,18,19,15,41,22,32,39,52,69,34,53,78,32,70,13,32,12,14,52,15,52,16,20,18,70,68,71,67,68,GK
A. Adomah,1,2,72,65,66,71,62,63,70,64,51,66,59,71,63,53,60,71,70,73,74,67,62,71,66,61,67,63,57,65,67,68,68,73,61,66,53,10,9,13,7,10,MF
F. Chaverra,1,1,80,57,64,69,42,45,63,65,45,68,43,68,45,44,65,67,80,80,80,64,82,52,44,55,39,45,47,38,71,69,49,53,42,43,42,5,8,8,8,5,MF
Y. Erdoğan,2,1,81,67,66,71,59,66,70,62,54,66,70,72,81,71,57,67,80,82,79,60,80,78,71,80,58,70,66,58,64,65,61,66,59,61,59,11,12,13,9,9,FW
A. Favilli,2,1,57,69,48,67,24,60,37,73,73,60,67,68,55,39,40,70,60,55,54,62,73,68,56,55,75,62,29,10,74,43,68,60,21,24,10,4,5,5,4,3,FW
R. Atkinson,1,1,54,25,48,56,70,79,28,21,72,62,28,59,37,19,56,57,52,56,37,65,40,29,48,78,85,25,71,69,33,46,30,64,69,70,69,13,11,8,6,13,DF
L. Segovia,1,1,71,42,54,55,68,76,60,40,63,65,39,41,37,35,48,71,69,72,70,60,45,49,80,80,74,43,73,66,32,42,37,51,71,67,71,8,10,10,11,15,DF
Y. Vílchez,0,2,59,25,50,45,71,64,40,18,72,68,28,23,30,33,60,68,63,55,42,74,60,40,70,64,63,22,66,68,28,32,32,58,74,71,68,12,6,6,10,9,DF
T. Cardona,0,1,47,41,47,57,68,77,44,37,73,60,27,55,30,37,56,60,39,54,54,61,46,54,78,75,78,38,78,67,35,29,59,63,67,69,67,14,14,12,10,10,DF
S. Fletcher,2,1,48,71,59,67,33,68,55,71,79,63,71,66,36,42,60,70,45,50,57,68,65,76,81,55,77,64,56,36,70,66,74,73,34,22,14,13,10,13,16,9,FW
L. Amarilla,1,1,74,69,58,62,35,65,35,71,72,69,59,59,51,49,59,67,72,75,63,69,59,67,73,64,75,69,41,23,71,64,71,51,35,35,23,6,5,12,14,9,FW
João Ferreira,1,2,78,42,55,63,64,67,64,31,52,63,46,62,53,32,46,65,77,78,56,68,60,69,65,70,67,35,65,67,53,47,44,63,62,68,67,5,11,13,15,13,DF
L. Blanco,2,1,78,41,56,68,63,70,67,35,45,59,34,70,49,37,56,66,75,80,71,64,73,50,61,80,66,44,68,57,50,46,43,53,65,69,68,8,6,8,7,8,DF
N. Etheridge,1,1,69,62,60,70,47,70,11,13,11,31,11,21,18,18,33,32,46,48,54,69,58,45,47,34,76,11,16,24,18,48,43,60,12,14,13,69,62,60,70,70,GK
T. Fosu,1,1,80,64,64,71,45,61,67,67,39,66,44,70,54,47,63,70,82,78,79,65,77,62,52,68,65,64,45,43,65,64,57,66,56,42,34,11,13,9,12,7,FW
P. Skjelbred,1,1,55,53,68,70,66,66,62,50,50,71,48,69,65,60,68,70,57,54,70,74,72,57,74,70,58,54,78,68,66,69,57,74,68,67,65,7,13,11,6,7,MF
B. Akintola,2,1,91,62,58,70,41,66,63,61,57,59,44,70,61,41,47,67,91,91,90,62,73,70,75,80,63,58,55,39,69,63,66,51,30,45,47,11,7,10,15,16,FW
Lim Chai Min,0,1,70,30,42,45,68,78,22,26,69,56,30,33,35,33,52,55,68,72,56,63,49,44,58,73,84,25,72,68,30,34,36,57,68,69,68,6,13,11,7,6,DF
M. Ruggeri,1,1,61,49,63,66,67,63,71,43,65,68,53,68,64,50,63,69,57,65,52,68,57,69,56,64,61,40,67,67,64,51,35,55,66,68,66,11,12,11,14,8,DF
Álex Bermejo,2,1,73,68,65,71,53,62,55,68,54,70,51,72,63,57,66,70,77,70,76,62,72,73,60,71,64,69,48,47,65,66,63,74,49,58,56,12,7,8,10,13,MF
K. Haugen,2,1,76,60,64,64,61,71,68,56,44,63,54,62,66,66,61,66,73,78,70,61,68,72,69,82,70,60,60,63,60,63,51,62,62,65,62,11,7,12,12,15,DF
Varela,0,1,61,44,53,59,68,78,55,43,70,55,38,55,50,47,48,59,60,62,58,68,71,45,72,69,86,42,73,67,44,52,54,68,65,69,69,6,9,13,12,13,DF
I. Nedelcearu,1,2,61,46,52,57,69,78,40,46,68,62,36,53,42,44,65,58,61,61,57,67,55,55,60,70,81,41,83,67,42,43,48,72,69,70,67,6,13,14,14,5,DF
J. Atanasov,1,1,71,62,71,67,63,71,64,53,63,73,47,66,68,76,72,73,68,73,60,67,55,72,59,70,73,81,68,68,63,71,48,58,58,65,58,12,8,11,11,10,MF
Vitinho,2,1,83,40,61,73,62,66,65,23,52,66,25,75,49,41,55,69,86,80,84,66,81,67,79,71,62,50,65,58,59,62,38,63,59,68,69,11,9,12,9,8,DF
S. Strand,1,1,85,31,56,63,63,66,59,27,45,64,30,60,39,30,58,64,82,87,73,59,79,34,74,80,56,33,73,65,53,46,32,51,67,62,68,14,13,8,9,13,DF
S. Birnbaum,0,2,34,31,45,51,68,85,33,30,73,59,29,46,30,26,54,58,33,34,34,68,55,41,88,90,85,25,77,64,28,35,35,71,73,64,64,9,15,13,6,15,DF
N. Ioannou,1,1,71,42,55,63,67,73,62,42,68,64,29,60,56,29,41,63,69,72,68,68,69,49,81,68,75,38,72,63,53,48,28,60,65,69,70,10,14,7,9,10,DF
D. Cambindo,2,1,69,70,45,65,25,75,37,76,74,53,70,64,42,40,42,66,68,70,70,61,71,69,70,72,90,62,44,18,62,43,63,55,20,20,18,7,9,14,13,13,FW
Y. Asad,2,2,75,67,67,72,57,69,65,67,48,70,59,69,77,68,64,72,80,71,83,62,84,71,70,82,64,67,64,57,68,65,59,67,59,59,54,6,12,15,8,7,FW
P. Ankersen,2,1,77,59,64,68,64,69,65,54,48,66,60,68,65,62,62,67,79,76,75,64,75,69,73,82,63,60,65,65,62,59,52,64,66,65,65,13,16,7,15,13,DF
A. Scott,2,1,73,60,69,74,59,63,66,61,51,72,53,74,65,63,69,70,75,72,84,62,83,63,60,74,60,58,56,57,62,69,52,72,59,63,60,9,10,15,12,8,MF
C. Itten,2,1,67,70,60,65,36,74,62,71,73,65,65,66,47,48,57,66,67,67,59,67,63,73,78,71,80,66,63,29,67,57,66,64,28,35,36,9,9,9,7,7,FW
G. Shibasaki,2,1,69,61,68,71,66,66,65,60,53,68,60,69,64,71,66,70,71,68,79,69,80,63,71,76,60,57,65,71,66,71,72,69,64,69,68,10,13,13,9,6,MF
V. Cabrera,1,2,66,39,57,59,69,72,45,34,65,73,31,60,34,30,67,59,64,67,55,60,61,45,61,69,71,46,82,70,26,48,44,55,70,70,68,15,14,15,10,7,DF
J. Arias,1,1,73,49,61,60,67,81,60,40,60,63,35,54,58,70,67,63,70,76,71,73,63,56,71,84,84,61,72,72,46,50,64,63,63,70,67,10,12,11,14,10,DF
W. Keane,2,1,67,69,62,69,45,73,50,71,73,69,62,69,48,47,65,69,64,69,71,69,64,72,73,82,74,63,58,40,71,69,75,69,43,46,32,10,11,15,11,6,FW
N. Rapp,1,1,54,42,56,59,70,72,39,42,65,68,39,54,38,33,63,64,54,54,55,69,63,53,81,69,75,32,68,72,54,55,38,59,69,71,68,12,9,6,7,6,DF
A. Dari,1,1,62,31,49,51,71,69,39,21,72,58,33,46,44,34,48,55,55,68,49,65,56,56,74,61,74,27,67,68,21,49,46,55,69,74,69,14,8,9,13,6,DF
P. Sandler,2,1,63,39,64,68,70,67,40,23,68,73,28,70,62,70,71,70,61,64,60,62,52,63,70,53,74,52,66,65,40,66,46,73,69,74,68,12,13,15,13,11,DF
Domingos Quina,1,1,69,66,66,73,44,48,56,65,34,72,54,73,63,50,71,74,72,67,76,64,82,73,50,58,34,70,69,46,64,67,48,62,44,47,45,12,11,8,12,6,MF
C. Traoré,1,1,68,33,54,64,70,75,61,24,65,56,29,64,37,40,58,67,67,69,66,58,61,45,84,76,74,37,75,69,51,48,32,50,71,71,70,13,9,11,12,7,DF
Raphael Rossi,1,1,77,36,49,55,69,76,38,37,67,62,33,46,37,22,57,62,74,80,52,62,73,33,75,68,84,35,65,69,39,39,37,68,68,70,66,12,9,7,10,8,DF
M. Boxall,1,1,56,42,58,57,67,80,58,35,65,64,54,56,56,43,57,60,43,66,47,66,50,61,78,67,91,33,69,67,59,52,42,60,66,69,66,13,9,14,7,8,DF
C. Mandouki,1,2,51,54,64,66,67,75,59,52,70,68,45,64,56,38,65,68,49,53,69,68,71,60,85,82,74,54,68,72,61,68,45,68,63,66,64,12,10,7,11,6,MF
C. Arrieta,2,1,90,50,60,63,61,75,64,48,57,65,39,60,55,50,61,60,90,90,82,57,83,55,83,91,71,50,63,63,65,52,41,57,62,59,64,9,10,15,9,6,DF
D. Miloc,1,2,60,46,60,64,66,76,55,40,59,66,34,61,40,45,68,66,59,61,66,71,65,48,75,88,71,57,74,66,58,59,39,58,64,69,67,15,10,10,15,7,MF
S. Biuk,2,1,80,60,64,72,35,59,63,62,48,64,46,77,51,57,60,72,77,83,68,65,58,66,59,67,60,51,48,38,65,72,56,59,31,32,33,13,8,11,15,10,MF
A. Cardozo,1,1,69,53,66,69,67,71,58,50,62,71,45,69,50,50,72,70,70,68,64,69,71,58,66,75,68,52,73,65,66,69,50,63,66,70,65,15,8,8,8,14,MF
A. Lundqvist,2,1,69,52,63,63,67,61,63,42,46,62,64,55,75,63,60,68,71,67,75,67,76,68,72,80,48,57,69,69,48,65,53,68,69,69,67,15,11,10,7,10,DF
Nicolas,1,1,71,69,64,71,43,67,13,18,12,31,7,12,8,13,31,22,45,41,37,58,45,48,51,32,77,12,27,15,12,47,21,63,8,19,13,71,69,64,67,71,GK
N. Thompson,1,2,70,38,54,62,68,80,56,36,64,59,34,59,37,33,54,58,73,68,74,63,83,43,90,76,81,41,78,65,38,51,30,64,67,71,68,8,14,13,8,13,DF
N. Boranijašević,1,1,74,49,60,65,64,70,65,51,62,63,29,65,56,27,62,66,77,72,63,55,66,48,73,86,66,51,59,65,55,55,35,62,62,66,64,8,9,12,6,10,DF
L. Zidane,1,1,71,65,64,70,37,69,12,8,12,22,6,10,14,11,15,14,29,50,40,64,49,48,67,38,50,5,16,14,5,52,19,33,13,11,13,71,65,64,69,70,GK
S. Kowalczyk,2,1,81,63,63,72,43,52,59,63,42,66,56,66,58,59,60,70,84,78,92,72,94,64,51,80,32,64,68,31,66,68,64,66,51,43,44,9,14,13,8,7,MF
Jeong Woon,1,1,75,57,65,65,69,73,68,51,58,64,34,64,65,70,63,63,77,74,74,70,69,71,83,74,74,65,67,72,66,65,44,61,69,72,68,10,11,16,9,15,DF
F. Moubandje,2,1,68,48,63,69,65,75,63,42,64,68,52,69,61,48,66,69,69,67,68,66,68,63,91,78,74,40,72,68,58,57,56,67,62,67,66,15,14,13,11,6,DF
Sergio Santos,2,1,90,63,55,70,26,70,60,65,62,59,60,69,37,35,45,73,91,89,79,65,62,69,71,72,80,54,41,18,68,59,61,62,28,20,14,16,14,10,14,11,FW
A. Masiello,1,2,32,37,54,56,71,69,58,23,71,62,52,54,47,35,65,61,31,33,33,68,53,63,75,54,73,41,76,72,30,36,31,75,72,69,67,14,7,12,12,12,DF
E. Valeri,2,1,71,61,65,66,64,57,71,56,46,70,56,64,62,74,60,72,75,68,62,71,68,68,40,71,48,67,65,65,68,52,56,57,69,64,62,8,10,13,12,12,DF
J. Urretaviscaya,1,0,68,67,74,69,41,49,72,64,55,79,62,70,73,73,72,67,73,64,77,56,68,72,61,57,45,70,44,47,65,70,69,69,24,52,30,9,15,12,14,6,MF
D. Phillips,1,1,70,65,62,70,46,68,19,15,12,32,19,21,19,20,18,27,48,43,30,67,54,47,51,38,58,18,19,14,6,20,27,46,24,20,16,70,65,62,68,70,GK
A. Ujah,1,1,55,69,54,67,33,67,48,70,79,60,59,68,54,43,53,65,58,53,66,70,66,78,92,54,75,62,58,38,69,52,67,71,20,29,23,10,11,15,15,7,FW
N. Uysal,1,2,55,56,62,64,69,74,68,55,72,64,33,64,45,37,67,65,54,55,63,67,67,65,81,67,73,56,82,66,42,60,60,59,65,73,68,15,13,13,16,7,DF
Yoon Bit Garam,1,1,71,64,71,68,57,64,62,58,54,73,64,67,68,75,75,70,70,71,68,58,74,70,62,72,60,73,65,61,59,75,62,68,58,56,49,8,11,11,11,6,MF
J. Medić,1,1,64,48,58,59,67,80,53,50,67,65,40,55,39,27,62,63,62,66,57,66,53,53,57,78,87,40,71,64,57,61,34,72,67,69,68,7,15,14,6,10,DF
José Amo,1,2,59,38,54,61,69,72,48,33,67,65,40,57,50,40,66,64,66,54,64,71,59,53,82,70,76,33,62,70,46,37,40,61,68,70,70,13,8,7,7,7,DF
G. Coucke,1,1,70,68,67,69,39,65,8,6,13,34,8,13,12,11,38,18,40,37,46,65,34,50,62,31,58,4,24,10,5,41,15,32,15,11,14,70,68,67,65,69,GK
M. Thiede,1,1,70,48,66,68,63,65,72,48,47,69,48,66,66,49,64,66,76,65,76,68,77,54,70,76,58,42,66,58,53,59,49,67,65,67,67,9,11,14,8,16,DF
J. Colback,1,2,56,57,64,63,67,68,59,51,52,71,45,60,60,50,67,65,59,53,64,55,73,68,76,70,59,64,85,68,53,59,59,67,72,68,64,6,6,6,10,7,MF
B. Özer,1,1,68,68,68,73,24,66,15,11,10,33,19,12,24,11,34,19,24,25,31,63,28,51,34,28,61,12,29,15,11,38,18,60,18,19,24,68,68,68,66,73,GK
D. Louiserre,1,1,64,65,67,69,64,70,59,62,54,71,61,64,63,66,65,70,66,62,82,67,87,70,71,80,67,68,63,64,61,71,67,73,65,67,62,12,10,16,10,7,MF
A. Mawson,1,2,52,39,48,56,70,70,23,43,72,64,38,54,21,24,65,60,52,52,48,63,49,53,74,52,80,21,65,69,28,43,32,68,69,70,70,14,12,12,14,10,DF
M. Pellegrini,1,2,83,62,61,71,49,56,59,64,52,62,46,71,51,58,58,70,81,84,78,68,74,68,46,66,56,50,46,46,68,68,69,61,51,49,50,13,10,11,6,11,MF
J. Allen,2,2,76,58,67,71,65,71,62,58,53,72,48,69,57,53,67,68,78,75,81,69,86,58,77,85,61,59,76,66,66,68,52,67,65,67,66,11,16,6,8,8,DF
N. Dovedan,1,1,80,66,61,74,34,59,61,69,55,65,60,73,71,70,53,71,82,79,91,67,90,66,72,76,51,63,55,25,69,56,58,63,35,32,30,15,13,14,9,13,FW
